id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
39-S,trendi,2023-06-23,202306,['Igor Harb'],963,0.635021,46,3788.0,10612-R,0.625384,39,718.0,16896-R,0.623226,39,3465.0,5132-R
40-S,trendi,2023-06-23,202306,['Sabina Bravec'],2419,0.690492,67,3464.0,5132-R,0.689037,62,541.0,10571-R,0.688447,70,671.0,16894-R
41-S,kolumne,2023-06-23,202306,['Branko Soban'],1472,0.722232,32,3464.0,5132-R,0.719928,28,3787.0,10612-R,0.701927,24,3825.0,21006-R
42-S,avtomoto,2023-06-23,202306,['Gregor Pavšič'],773,0.52847,57,4476.0,146-R,0.524088,49,3787.0,10612-R,0.510487,62,826.0,101-R
43-S,sportal,2023-06-23,202306,['STA'],245,0.494958,46,2949.0,10598-R,0.492728,34,3799.0,21006-R,0.485549,53,664.0,10574-R
44-S,trendi,2023-06-23,202306,['STA'],374,0.820038,45,685.0,16896-R,0.579216,47,3793.0,21006-R,0.551803,57,3755.0,10612-R
45-S,sportal,2023-06-23,202306,"['M. P.', 'STA']",99,0.33451,48,644.0,10574-R,0.324132,28,3779.0,21006-R,0.304468,55,3049.0,10600-R
46-S,sportal,2023-06-23,202306,['STA'],734,0.660063,43,3764.0,21006-R,0.658304,52,629.0,10574-R,0.630642,48,2914.0,10598-R
47-S,sportal,2023-06-23,202306,['STA'],160,0.393529,44,2914.0,10598-R,0.391479,39,3649.0,10610-R,0.375562,57,3034.0,10600-R
48-S,slovenija,2023-06-23,202306,"['D.K.', 'STA']",357,0.526573,50,4815.0,152-R,0.512137,53,615.0,10574-R,0.505844,42,642.0,16896-R
49-S,sportal,2023-06-23,202306,['STA'],1672,0.793188,48,501.0,10572-R,0.764616,48,584.0,10574-R,0.743315,44,3719.0,21006-R
50-S,svet,2023-06-23,202306,"['D.K.', 'STA']",501,0.832702,41,653.0,5100-R,0.613187,56,3716.0,21006-R,0.604182,53,608.0,16896-R
51-S,slovenija,2023-06-23,202306,"['Planet TV', 'Neja Jerebičnik']",456,0.504537,51,3342.0,5132-R,0.492082,65,3665.0,10612-R,0.470571,54,1487.0,105-R
52-S,slovenija,2023-06-23,202306,"['D.K.', 'STA']",335,0.504407,57,3177.0,136-R,0.427768,68,1538.0,107-R,0.419216,66,3308.0,139-R
53-S,sportal,2023-06-23,202306,['STA'],102,0.301631,36,4764.0,10626-R,0.293682,47,2819.0,10598-R,0.291099,50,534.0,10574-R
54-S,slovenija,2023-06-23,202306,"['D.K.', 'STA']",327,0.363339,66,1602.0,110-R,0.36211,72,3532.0,143-R,0.342477,68,2847.0,131-R
55-S,sportal,2023-06-23,202306,"['M. P.', 'STA']",431,0.696374,52,504.0,10574-R,0.681056,46,3639.0,21006-R,0.66993,56,3601.0,10612-R
56-S,sportal,2023-06-23,202306,['STA'],299,0.424794,64,630.0,101-R,0.42478,70,3554.0,144-R,0.420453,47,3591.0,10612-R
57-S,slovenija,2023-06-23,202306,"['D.K.', 'STA']",265,0.479209,42,3591.0,21006-R,0.466709,46,2741.0,10598-R,0.464047,44,483.0,16896-R
58-S,svet,2023-06-23,202306,['Matic Tomšič'],1085,0.64045,51,534.0,5101-R,0.63366,22,3527.0,21006-R,0.631465,49,392.0,10574-R
59-S,sportal,2023-06-23,202306,['STA'],254,0.918772,27,2.0,10567-R,0.410758,41,3524.0,21006-R,0.405904,43,3163.0,5132-R
60-S,slovenija,2023-06-23,202306,"['D.K.', 'STA']",201,0.476644,51,2701.0,131-R,0.469495,63,3107.0,138-R,0.454787,37,388.0,16896-R
61-S,sportal,2023-06-23,202306,['Alenka Teran Košir'],1777,0.693135,76,509.0,10578-R,0.67754,67,195.0,10571-R,0.670244,66,5757.0,10636-R
62-S,sportal,2023-06-23,202306,['STA'],423,0.574143,44,3113.0,10605-R,0.558344,47,339.0,10574-R,0.555604,41,5752.0,10636-R
63-S,sportal,2023-06-23,202306,['M. P.'],304,0.462512,49,329.0,10574-R,0.454078,42,494.0,10578-R,0.443291,46,3464.0,21006-R
64-S,sportal,2023-06-23,202306,['M. P.'],530,0.607177,45,3429.0,21006-R,0.594767,50,294.0,10574-R,0.587969,48,3068.0,10605-R
