id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
38-R,gospodarstvo,2023-06-28,202306,['G. C.'],567,0.992524,66,77.0,22915-S,0.726321,71,5355.0,26250-S,0.72499,73,3987.0,25398-S
39-R,slovenija,2023-06-28,202306,"['Urška Jereb', 'Radio Slovenija']",333,0.526695,45,2992.0,24590-S,0.522552,51,5567.0,26260-S,0.51463,41,5327.0,26250-S
40-R,slovenija,2023-06-28,202306,['Al. Ma.'],263,0.427592,41,5299.0,26248-S,0.426737,49,2664.0,24567-S,0.420068,47,2965.0,24590-S
41-R,gospodarstvo,2023-06-28,202306,['G. C.'],466,0.523125,77,1407.0,23812-S,0.515154,78,3929.0,25398-S,0.514759,78,5537.0,26260-S
42-R,okolje,2023-06-28,202306,['Al. Ma.'],921,0.902898,34,33.0,22920-S,0.721763,48,5533.0,26260-S,0.717364,46,3925.0,25398-S
43-R,slovenija,2023-06-28,202306,['M. Z.'],503,0.889471,58,18.0,22931-S,0.389728,61,3728.0,25398-S,0.374374,66,5336.0,26260-S
44-R,slovenija,2023-06-28,202306,['Urška Sobočan Ivanovič'],549,0.550909,53,5004.0,26250-S,0.546031,49,5244.0,26260-S,0.527127,71,3934.0,25410-S
45-R,slovenija,2023-06-28,202306,['Al. Ma.'],1352,0.700159,74,4970.0,26250-S,0.652927,75,2635.0,24590-S,0.640022,80,3900.0,25410-S
46-R,slovenija,2023-06-28,202306,['La. Da.'],3142,0.657041,77,4854.0,26248-S,0.655677,72,2520.0,24590-S,0.638103,75,4855.0,26250-S
47-R,slovenija,2023-06-28,202306,['M. Z.'],1114,0.928796,37,23.0,22951-S,0.730619,60,3465.0,25398-S,0.73034,63,4851.0,26252-S
48-R,slovenija,2023-06-27,202306,['M. Z.'],404,0.507102,76,4156.0,26252-S,0.498719,76,4378.0,26260-S,0.486095,73,5288.0,26289-S
49-R,slovenija,2023-06-27,202306,['Al. Ma.'],1160,0.679353,45,4073.0,26250-S,0.667307,53,5223.0,26289-S,0.656508,67,3003.0,25410-S
50-R,slovenija,2023-06-27,202306,['A. S.'],203,0.428881,53,4078.0,26252-S,0.428735,68,3487.0,25430-S,0.424059,72,1863.0,24603-S
51-R,gospodarstvo,2023-06-27,202306,['Al. Ma.'],1165,0.572396,69,5161.0,26289-S,0.570215,73,4251.0,26260-S,0.563113,74,4011.0,26250-S
52-R,slovenija,2023-06-27,202306,['Al. Ma.'],450,0.587268,51,87.0,23817-S,0.532226,55,1212.0,24565-S,0.494212,58,3915.0,26250-S
53-R,slovenija,2023-06-27,202306,['La. Da.'],1299,0.799534,69,19.0,23815-S,0.673902,67,1566.0,24590-S,0.641455,68,3901.0,26250-S
54-R,slovenija,2023-06-27,202306,['M. Z.'],911,0.825191,7,78.0,23826-S,0.648034,48,4053.0,26260-S,0.647777,49,3813.0,26250-S
55-R,slovenija,2023-06-27,202306,['G. C.'],485,0.967942,61,12.0,23823-S,0.680128,59,3777.0,26250-S,0.580805,60,3776.0,26248-S
56-R,lokalne-novice,2023-06-27,202306,['Al. Ma.'],686,0.512715,71,3925.0,26260-S,0.500612,72,1350.0,24590-S,0.498161,70,4617.0,26285-S
57-R,slovenija,2023-06-27,202306,['A. P. J.'],340,0.496606,67,1106.0,24571-S,0.45869,59,5272.0,49-S,0.448504,68,1206.0,24582-S
58-R,slovenija,2023-06-27,202306,['A. P. J.'],527,0.566315,77,1471.0,24603-S,0.555346,59,2193.0,25392-S,0.549904,60,3667.0,26248-S
59-R,slovenija,2023-06-27,202306,['G. C.'],365,0.873564,69,12.0,23840-S,0.562089,67,4752.0,26289-S,0.534773,63,3842.0,26260-S
60-R,slovenija,2023-06-27,202306,['Urška Sobočan Ivanovič'],658,0.730579,48,3585.0,26250-S,0.697315,54,4735.0,26289-S,0.661847,69,2515.0,25410-S
61-R,gospodarstvo,2023-06-27,202306,['G. C.'],290,0.394244,70,4683.0,26289-S,0.394024,70,1198.0,24590-S,0.377451,77,5027.0,41-S
62-R,slovenija,2023-06-27,202306,['La. Da.'],1037,0.603937,72,3750.0,26260-S,0.597017,73,1175.0,24590-S,0.57995,77,4660.0,26289-S
63-R,slovenija,2023-06-27,202306,['Al. Ma.'],666,0.508241,70,3413.0,26248-S,0.497251,70,3414.0,26250-S,0.494743,70,5699.0,96-S
64-R,slovenija,2023-06-27,202306,['Al. Ma.'],1778,0.705061,56,1045.0,24590-S,0.699991,61,3620.0,26260-S,0.699405,60,3379.0,26248-S
65-R,slovenija,2023-06-26,202306,['Al. Ma.'],330,0.731947,43,54.0,24558-S,0.546012,53,1482.0,25398-S,0.5441,54,3090.0,26260-S
66-R,slovenija,2023-06-26,202306,"['Jasna Krljić Vreg', 'TV Slovenija']",1363,0.774399,78,3934.0,26289-S,0.77406,78,2784.0,26250-S,0.756502,78,1416.0,25398-S
67-R,slovenija,2023-06-26,202306,['G. C.'],755,0.642599,71,4141.0,49-S,0.633158,75,1173.0,25398-S,0.631928,65,2559.0,26252-S
68-R,slovenija,2023-06-26,202306,['G. C.'],971,0.514547,57,5569.0,965-S,0.47338,62,4419.0,69-S,0.468035,61,122.0,24590-S
69-R,slovenija,2023-06-26,202306,['G. C.'],473,0.437675,60,4783.0,110-S,0.40666,59,170.0,24601-S,0.404227,54,3990.0,49-S
70-R,slovenija,2023-06-26,202306,['STA'],464,0.525863,68,2346.0,26250-S,0.523324,75,5629.0,976-S,0.52123,60,5581.0,973-S
71-R,slovenija,2023-06-26,202306,['G. C.'],524,0.505945,79,5587.0,976-S,0.499648,75,2304.0,26250-S,0.493547,71,3454.0,26289-S
72-R,slovenija,2023-06-26,202306,"['La. Da.', 'G. C.']",1404,0.716779,59,7.0,24601-S,0.679457,64,2227.0,26250-S,0.675905,70,5510.0,976-S
73-R,slovenija,2023-06-26,202306,['M. Z.'],389,0.908355,47,93.0,24609-S,0.278954,54,3785.0,49-S,0.265786,55,1319.0,25416-S
74-R,slovenija,2023-06-26,202306,['Al. Ma.'],1057,0.542464,66,5439.0,976-S,0.530128,62,3756.0,49-S,0.528412,61,2156.0,26250-S
75-R,slovenija,2023-06-26,202306,['Al. Ma.'],1215,0.844657,47,49.0,24619-S,0.69938,64,669.0,25398-S,0.678366,63,2277.0,26260-S
76-R,slovenija,2023-06-26,202306,['Al. Ma.'],1716,0.763573,74,665.0,25398-S,0.744426,73,2033.0,26250-S,0.741186,79,4474.0,112-S
77-R,slovenija,2023-06-26,202306,['M. Z.'],805,0.470994,66,5253.0,976-S,0.457167,55,4896.0,951-S,0.455677,57,1969.0,26248-S
78-R,lokalne-novice,2023-06-25,202306,"['Jasna Preskar', 'Radio Slovenija']",305,0.514394,61,2327.0,26289-S,0.500479,67,4460.0,976-S,0.484655,57,5060.0,1022-S
79-R,slovenija,2023-06-25,202306,['Al. Ma.'],978,0.971948,55,514.0,25431-S,0.590974,56,3367.0,97-S,0.573654,56,2222.0,26289-S
80-R,slovenija,2023-06-25,202306,['Al. Ma.'],300,0.77518,85,207.0,25422-S,0.537162,79,1073.0,26256-S,0.53715,69,3379.0,112-S
81-R,slovenija,2023-06-25,202306,['Al. Ma.'],298,0.538966,69,5706.0,1925-S,0.432563,60,474.0,25438-S,0.425349,63,1004.0,26260-S
82-R,slovenija,2023-06-25,202306,['Al. Ma.'],2047,0.847921,78,144.0,25430-S,0.824996,80,195.0,25435-S,0.804171,67,83.0,25426-S
83-R,slovenija,2023-06-25,202306,['Ana Svenšek'],1280,0.676975,80,3699.0,976-S,0.674455,41,415.0,26248-S,0.668451,51,416.0,26250-S
84-R,slovenija,2023-06-24,202306,"['Andreja Gradišar', 'Radio Slovenija']",284,0.409303,53,1351.0,49-S,0.40723,52,2740.0,958-S,0.390746,58,5711.0,2772-S
85-R,slovenija,2023-06-24,202306,['Al. Ma.'],490,0.76371,20,1381.0,57-S,0.579909,49,3536.0,1022-S,0.572211,58,5006.0,1956-S
86-R,slovenija,2023-06-24,202306,['Al. Ma.'],881,0.428318,54,1878.0,97-S,0.421509,62,733.0,26289-S,0.418653,63,1951.0,106-S
87-R,slovenija,2023-06-24,202306,['Al. Ma.'],583,0.58139,65,1979.0,112-S,0.579533,66,4891.0,1956-S,0.577826,62,3421.0,1022-S
88-R,slovenija,2023-06-24,202306,['Al. Ma.'],344,0.976904,55,52.0,26273-S,0.536953,50,2371.0,958-S,0.534568,54,3265.0,1022-S
89-R,slovenija,2023-06-24,202306,['A. S.'],2605,0.785587,70,2529.0,976-S,0.772274,60,3781.0,1889-S,0.756188,54,3129.0,1022-S
90-R,okolje,2023-06-24,202306,['M. R.'],351,0.610548,58,1464.0,106-S,0.466285,56,4146.0,1932-S,0.455067,60,2963.0,1020-S
91-R,crna-kronika,2023-06-23,202306,['K. T.'],359,0.966277,23,157.0,48-S,0.56645,45,2471.0,1022-S,0.552277,42,188.0,49-S
92-R,gospodarstvo,2023-06-23,202306,['G. K.'],972,0.501486,60,934.0,110-S,0.492365,62,516.0,71-S,0.476453,61,141.0,49-S
93-R,slovenija,2023-06-23,202306,['STA'],231,0.342936,49,412.0,71-S,0.331074,53,1814.0,984-S,0.329761,41,37.0,49-S
94-R,okolje,2023-06-23,202306,['G. K.'],360,0.389258,54,3109.0,1910-S,0.382758,61,2179.0,1019-S,0.381902,64,2689.0,1881-S
95-R,slovenija,2023-06-23,202306,['G. K.'],508,0.918979,43,273.0,71-S,0.450462,56,4478.0,2785-S,0.416071,59,3166.0,1916-S
96-R,slovenija,2023-06-23,202306,"['Urška Valjavec', 'Prvi']",343,0.47554,70,4160.0,2772-S,0.474726,68,641.0,112-S,0.469259,69,2083.0,1022-S
97-R,slovenija,2023-06-23,202306,['M. Z.'],533,0.614849,81,71.0,68-S,0.561736,78,1394.0,976-S,0.553903,75,1994.0,1022-S
98-R,slovenija,2023-06-23,202306,['M. Z.'],348,0.905574,77,44.0,69-S,0.583973,80,1194.0,965-S,0.466425,78,1365.0,976-S
99-R,slovenija,2023-06-23,202306,['La. Da.'],312,0.557682,49,1907.0,1022-S,0.542675,61,3377.0,1956-S,0.526947,65,1307.0,976-S
100-R,slovenija,2023-06-23,202306,['U. S. I.'],616,0.709383,64,1088.0,976-S,0.6912,49,1688.0,1022-S,0.689751,47,246.0,112-S
101-R,slovenija,2023-06-23,202306,['G. K.'],1089,0.637005,54,48.0,106-S,0.616956,71,963.0,976-S,0.610411,63,1563.0,1022-S
102-R,slovenija,2023-06-23,202306,['La. Da.'],142,0.40409,59,1507.0,1019-S,0.387234,52,2179.0,1889-S,0.366528,52,4341.0,2841-S
103-R,slovenija,2023-06-23,202306,['Larisa Daugul'],1632,0.711012,71,828.0,976-S,0.658499,60,2209.0,1903-S,0.648125,72,5321.0,3750-S
104-R,lokalne-novice,2023-06-22,202306,['G. K.'],726,0.618079,57,983.0,1022-S,0.617104,64,2453.0,1956-S,0.60586,70,383.0,976-S
105-R,slovenija,2023-06-22,202306,['G. K.'],1369,0.715729,27,3807.0,2850-S,0.711769,70,180.0,976-S,0.709432,47,780.0,1022-S
106-R,slovenija,2023-06-22,202306,['G. C.'],512,0.516661,79,158.0,976-S,0.486897,73,1783.0,1921-S,0.475242,74,110.0,973-S
107-R,zdravje,2023-06-22,202306,['G. K.'],602,0.606484,70,1186.0,1881-S,0.595977,66,696.0,1022-S,0.593588,73,2166.0,1956-S
108-R,crna-kronika,2023-06-22,202306,['G. K.'],154,0.686078,42,2.0,970-S,0.307456,44,3177.0,2808-S,0.277309,60,2147.0,1956-S
109-R,slovenija,2023-06-22,202306,['A. P. J.'],497,0.4132,50,1305.0,1889-S,0.389671,55,633.0,1019-S,0.382202,62,1143.0,1881-S
110-R,slovenija,2023-06-22,202306,['G. K.'],754,0.583026,57,1094.0,1881-S,0.562019,52,1629.0,1921-S,0.530811,68,4.0,976-S
111-R,slovenija,2023-06-22,202306,['T. K. B.'],324,0.541047,71,563.0,1019-S,0.539638,72,4870.0,3779-S,0.517048,41,1568.0,1916-S
112-R,slovenija,2023-06-22,202306,['A. P. J.'],271,0.418406,59,1233.0,1889-S,0.368974,60,581.0,1022-S,0.355615,61,2051.0,1956-S
113-R,gospodarstvo,2023-06-22,202306,['G. K.'],330,0.426018,60,3608.0,2850-S,0.423141,57,4208.0,3730-S,0.419207,60,2051.0,1956-S
114-R,slovenija,2023-06-22,202306,['A. P. J.'],148,0.349569,50,580.0,1022-S,0.341802,50,4916.0,3784-S,0.340516,59,2050.0,1956-S
115-R,slovenija,2023-06-22,202306,['A. P. J.'],380,0.501448,61,577.0,1022-S,0.49476,66,2047.0,1956-S,0.494164,63,3077.0,2808-S
116-R,zdravje,2023-06-22,202306,['G. C.'],282,0.405836,54,573.0,1022-S,0.401679,56,4909.0,3784-S,0.389807,50,3073.0,2808-S
117-R,gospodarstvo,2023-06-22,202306,['G. C.'],377,0.947961,53,15.0,984-S,0.544475,67,521.0,1022-S,0.532766,62,1173.0,1889-S
118-R,slovenija,2023-06-22,202306,['M. Z.'],730,0.63016,73,3539.0,2850-S,0.622704,66,512.0,1022-S,0.621308,69,4848.0,3784-S
119-R,slovenija,2023-06-22,202306,['M. Z.'],395,0.575211,74,488.0,1022-S,0.552896,75,1958.0,1956-S,0.548907,73,3515.0,2850-S
120-R,okolje,2023-06-22,202306,['La. Da.'],990,0.613389,51,483.0,1022-S,0.602146,59,1953.0,1956-S,0.590335,60,4770.0,3779-S
121-R,slovenija,2023-06-22,202306,['T. K. B.'],424,0.48674,55,452.0,1022-S,0.48563,55,3776.0,3715-S,0.479829,52,4919.0,3786-S
122-R,slovenija,2023-06-22,202306,['Larisa Daugul'],656,0.506308,34,3381.0,2850-S,0.502017,40,3981.0,3730-S,0.48388,76,4582.0,3777-S
123-R,slovenija,2023-06-22,202306,['M. Z.'],1817,0.718947,74,3288.0,2850-S,0.716509,68,261.0,1022-S,0.700061,70,2972.0,2826-S
124-R,slovenija,2023-06-22,202306,['U. S. I.'],593,0.629046,53,3252.0,2850-S,0.609208,72,4118.0,3750-S,0.608412,56,2936.0,2826-S
125-R,zdravje,2023-06-22,202306,['Miha Zavrtanik'],297,0.393731,71,4504.0,3784-S,0.38859,74,3195.0,2850-S,0.388267,69,1638.0,1956-S
126-R,zabava-in-slog,2023-06-22,202306,['Avtomobilnost'],275,0.369486,51,97.0,1022-S,0.369485,55,1567.0,1956-S,0.341158,55,4433.0,3784-S
127-R,slovenija,2023-06-22,202306,"['Urška Valjavec', 'Radio Slovenija']",318,0.41646,66,3728.0,3732-S,0.404653,63,1106.0,1921-S,0.403138,62,571.0,1881-S
128-R,slovenija,2023-06-21,202306,['Al. Ma.'],974,0.592678,51,2574.0,2850-S,0.574323,55,1516.0,2762-S,0.572081,48,2258.0,2826-S
129-R,slovenija,2023-06-21,202306,['K. T.'],304,0.514127,58,920.0,1956-S,0.507808,54,102.0,1889-S,0.506105,56,3737.0,3779-S
130-R,slovenija,2023-06-21,202306,['A. P. J.'],427,0.945043,47,52.0,1893-S,0.571004,56,40.0,1889-S,0.568141,73,858.0,1956-S
131-R,slovenija,2023-06-21,202306,['Al. Ma.'],562,0.974645,0,11.0,1889-S,0.619027,62,3646.0,3779-S,0.59239,62,829.0,1956-S
132-R,slovenija,2023-06-21,202306,['K. T.'],282,0.492355,50,255.0,1921-S,0.484156,70,5501.0,5427-S,0.481973,36,4044.0,4521-S
133-R,slovenija,2023-06-21,202306,['A. M.'],619,0.973355,67,270.0,1925-S,0.52755,52,2535.0,3715-S,0.51707,56,1288.0,2772-S
134-R,gospodarstvo,2023-06-21,202306,['M. Z.'],395,0.92223,40,53.0,1913-S,0.471609,65,598.0,1956-S,0.440068,61,2017.0,2846-S
135-R,slovenija,2023-06-21,202306,['T. K. B.'],417,0.561724,45,1569.0,2808-S,0.535797,58,539.0,1956-S,0.535653,54,3405.0,3784-S
136-R,slovenija,2023-06-21,202306,['Al. Ma.'],1137,0.901474,73,82.0,1921-S,0.57698,74,5328.0,5427-S,0.568511,75,527.0,1956-S
137-R,slovenija,2023-06-21,202306,['Aljoša Masten'],452,0.525831,76,3315.0,3779-S,0.517056,77,3364.0,3784-S,0.514832,73,498.0,1956-S
138-R,slovenija,2023-06-21,202306,['M. Z.'],1227,0.661391,65,5719.0,5450-S,0.650384,68,423.0,1956-S,0.639555,65,3289.0,3784-S
139-R,zdravje,2023-06-21,202306,"['T. K. B.', 'M. Z.']",1082,0.786293,69,7.0,1927-S,0.567704,67,396.0,1956-S,0.564347,80,5197.0,5427-S
